5307
id_ESTADO|ID_DISTRITO|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|PAN|PRI|PRD|PVEM|PT|MC|PANAL|MORENA|PH|ES|PRI_PVEM|PRD_PT|CI_1|CI_2|NUM_VOTOS_CAN_NREG|NUM_VOTOS_NULOS|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|TIPO_SECCION|LISTA_NOMINAL|CIRCUNSCRIPCION|MODIFICADO
1|3|298|B|1|0|71|77|6|12|1|3|10|7|5|8|||||0|22|2015|6|7|20|14|23.955|1|1|578|2|
1|3|302|C|1|0|48|61|8|11|3|3|17|10|5|8|||||0|12|2015|6|7|19|19|45.235|1|1|523|2|
1|3|303|B|1|0|66|59|9|15|2|2|24|23|9|12|||||4|19|2015|6|7|20|42|51.879|1|1|654|2|
1|3|311|C|1|0|61|74|3|8|1|5|17|19|8|8|||||0|16|2015|6|7|20|18|17.367|1|1|534|2|
1|3|320|C|2|0|125|86|3|20|1|0|8|15|3|8|||||0|9|2015|6|7|20|39|14.28|1|2|738|2|
1|3|326|C|3|0|90|48|7|6|3|8|15|24|7|11|||||1|20|2015|6|7|18|46|13.537|1|2|677|2|
1|3|336|C|1|0|53|127|6|12|16|1|6|6|4|3|||||0|11|2015|6|7|18|58|28.508|1|2|573|2|
2|1|365|B|1|0|75|27|4|9|5|14|4|15|7|7|1||||0|12|2015|6|7|21|5|31.819|1|1|518|1|
2|1|500|C|1|0|41|23|4|8|1|8|12|20|2|15|1||||0|9|2015|6|7|21|0|44.398|1|1|403|1|
2|1|1949|B|1|0|46|16|3|5|0|14|5|13|2|10|2||||0|7|2015|6|7|21|3|4.373|1|1|616|1|
2|2|247|B|1|0|34|29|5|5|2|6|5|11|3|5|3||||0|7|2015|6|7|20|53|19.645|1|1|477|1|
2|2|430|C|1|0|40|18|8|6|2|14|6|19|9|12|0||||0|11|2015|6|7|20|59|19.274|1|1|441|1|
2|2|431|B|1|0|83|27|5|4|0|11|3|18|14|11|1||||0|5|2015|6|7|21|1|54.539|1|1|408|1|
2|2|434|C|1|0|87|15|4|6|1|19|4|19|18|9|0||||2|12|2015|6|7|21|4|27.522|1|1|561|1|
2|3|3|C|1|0|23|32|7|5|53|5|5|38|3|3|1||||0|20|2015|6|7|20|57|59.474|1|1|575|1|
2|3|15|B|1|0|36|43|5|9|24|9|7|31|11|13|1||||3|10|2015|6|7|21|6|53.482|1|1|616|1|
2|3|48|B|1|0|89|31|7|2|27|5|2|29|13|3|1||||0|13|2015|6|7|20|51|43.735|1|1|545|1|
2|3|153|C|1|0|12|13|21|9|13|6|7|33|3|13|1||||0|13|2015|6|7|20|59|22.878|1|2|718|1|
2|3|154|C|2|0|19|30|14|4|9|9|13|18|3|10|3||||0|9|2015|6|7|21|0|40.65|1|2|519|1|
2|3|158|C|1|0|46|20|13|11|44|4|5|12|5|4|1||||0|15|2015|6|7|20|59|19.369|1|2|661|1|
2|3|159|C|1|0|34|39|11|4|18|3|15|10|4|4|1||||0|20|2015|6|7|21|2|11.441|1|2|423|1|
2|3|162|B|1|0|38|23|16|9|14|4|3|14|9|9|1||||0|5|2015|6|7|20|55|1.641|1|2|623|1|
2|3|166|C|1|0|43|48|20|4|20|3|9|26|2|8|0||||0|16|2015|6|7|20|53|54.943|1|2|543|1|
2|3|183|C|1|0|51|59|2|6|2|30|3|8|2|2|2||||0|8|2015|6|7|20|56|57.019|1|2|492|1|
2|3|187|C|1|0|34|26|27|10|13|12|9|31|7|1|1||||0|6|2015|6|7|21|8|1.832|1|2|644|1|
2|3|191|B|1|0|32|24|8|1|11|3|17|14|5|3|1||||0|10|2015|6|7|21|5|26.244|1|2|404|1|
2|3|192|C|5|0|46|29|11|7|21|4|16|8|5|1|0||||1|9|2015|6|7|20|48|10.761|1|2|654|1|
2|3|192|E|1|2|43|32|17|5|28|3|7|24|5|2|0||||0|9|2015|6|7|21|0|49.538|1|2|554|1|
2|3|201|B|1|0|28|14|1|0|11|0|4|0|0|1|4||||0|2|2015|6|7|20|47|33.849|1|2|113|1|
2|3|1848|C|1|0|19|39|9|3|5|5|5|21|3|5|1||||0|6|2015|6|7|20|51|17.734|1|1|434|1|
2|3|1854|B|1|0|34|30|11|2|13|5|8|17|4|10|0||||0|5|2015|6|7|21|6|10.234|1|1|392|1|
2|3|1857|B|1|0|26|20|12|10|27|9|6|24|3|11|0||||2|6|2015|6|7|21|4|11.051|1|1|501|1|
2|3|1861|B|1|0|23|38|3|2|8|1|3|20|4|4|0||||0|4|2015|6|7|21|2|23.604|1|1|408|1|
2|4|1049|C|9|0|53|38|2|12|6|8|13|30|4|12|2||||0|10|2015|6|7|20|29|38.504|1|1|721|1|
2|4|1121|B|1|0|51|39|4|4|7|6|6|21|7|11|5||||2|10|2015|6|7|20|59|45.602|1|1|557|1|
2|4|1143|C|1|0|81|16|2|8|11|15|15|32|3|4|2||||1|15|2015|6|7|21|6|41.412|1|1|745|1|
2|4|1149|B|1|0|71|26|5|9|6|9|11|19|9|15|1||||2|10|2015|6|7|20|46|38.574|1|1|660|1|
2|4|1175|C|3|0|25|28|6|4|6|1|12|22|4|4|1||||0|8|2015|6|7|20|51|11.663|1|1|612|1|
2|4|1178|B|1|0|32|18|6|3|5|5|9|17|6|8|2||||0|15|2015|6|7|21|3|38.859|1|1|502|1|
2|4|1178|C|1|0|19|20|4|1|5|4|12|12|2|5|4||||0|9|2015|6|7|21|5|9.023|1|1|502|1|
2|4|1215|B|1|0|48|17|2|6|6|5|14|27|4|12|1||||0|19|2015|6|7|21|2|18.286|1|1|553|1|
2|4|1215|C|1|0|62|13|2|5|6|6|7|23|3|7|1||||3|11|2015|6|7|21|5|10.302|1|1|553|1|
