ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|NUMERO_ARE|NUMERO_ZORE|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO
3|1|136|C|1|0|138|18|U|401|3
3|1|169|B|1|0|133|19|U|411|3
3|1|242|B|1|0|106|21|U|631|3
3|1|443|C|1|0|101|15|U|475|3
3|1|460|B|1|0|98|23|U|383|3
3|1|470|C|1|0|95|23|M|748|3
3|1|482|C|2|0|92|22|U|508|3
3|1|256|C|2|0|67|14|M|598|3
3|1|259|B|1|0|64|14|R|184|3
3|1|261|B|1|0|65|14|R|720|3
3|1|262|B|1|0|65|14|R|216|3
3|1|348|B|1|0|71|17|U|503|3
3|1|451|B|1|0|77|15|U|446|3
3|1|16|B|1|0|53|12|U|498|1
3|1|25|C|1|0|56|13|U|459|1
3|1|26|B|1|0|57|13|U|467|1
3|1|31|B|1|0|54|13|U|500|1
3|1|10|C|1|0|62|12|U|398|1
3|1|37|B|1|0|49|11|R|263|1
3|1|41|C|1|0|35|9|U|513|1
3|1|50|B|1|0|39|9|R|180|1
3|1|83|E|1|0|20|5|M|608|2
3|1|347|B|1|0|31|7|R|282|5
3|1|228|C|1|0|115|21|U|549|3
3|2|295|C|1|0|21|4|M|697|4
3|2|298|C|2|0|26|5|M|714|4
3|2|298|C|5|0|27|5|M|713|4
3|2|298|E|1|0|28|5|M|714|4
3|2|298|E|1|1|28|5|M|714|4
3|2|298|E|1|4|28|5|M|714|4
3|2|354|B|1|0|36|6|U|527|4
3|2|269|C|1|0|8|2|R|614|3
3|2|267|C|1|0|13|3|R|413|3
3|2|270|C|2|0|9|2|R|604|3
3|2|271|B|1|0|10|2|R|552|3
3|2|278|B|1|0|11|2|R|722|3
3|2|332|C|8|0|70|12|U|745|4
3|2|351|B|1|0|71|12|U|615|4
3|2|409|C|1|0|75|13|U|422|4
3|2|373|C|2|0|87|15|U|502|4
3|2|377|C|1|0|92|16|U|634|4
3|2|383|B|1|0|94|17|U|712|4
3|2|393|B|1|0|99|17|U|388|4
3|2|304|C|1|0|49|8|M|594|4
3|2|310|B|1|0|45|8|R|616|4
3|2|313|B|1|0|25|4|R|538|4
3|2|321|B|1|0|107|19|U|591|4
