NO,ID_ESTADO,ID_DISTRITO,GANA_PRD_PT_MC
117,14,11,PT
118,14,12,MC
119,14,13,PT
120,14,14,PRD
121,14,15,PT
122,14,16,PRD
123,14,17,PT
124,14,18,PRD
125,14,19,PRD
126,15,1,PRD
127,15,2,MC
128,15,3,MC
129,15,4,PRD
130,15,5,PRD
131,15,6,PRD
132,15,7,PT
133,15,8,PRD
134,15,9,MC
135,15,10,PRD
136,15,11,PRD
137,15,12,PRD
138,15,13,PRD
139,15,14,PRD
140,15,15,PRD
141,15,16,PT
142,15,17,PRD
143,15,18,PRD
144,15,19,PRD
145,15,20,PRD
146,15,21,MC
147,15,22,PT
148,15,23,PRD
149,15,24,MC
150,15,25,PRD
151,15,26,PRD
152,15,27,PT
153,15,28,PRD
154,15,29,PRD
155,15,30,PRD
156,15,31,PRD
157,15,32,PRD
158,15,33,MC
159,15,34,PRD
160,15,35,PT
161,15,36,PRD
162,15,37,MC
163,15,38,MC
164,15,39,PRD
165,15,40,PT
166,16,1,PRD
167,16,2,PRD
168,16,3,PRD
169,16,4,PRD
170,16,5,PT
171,16,6,PRD
172,16,7,PRD
173,16,8,PRD
174,16,9,PT
175,16,10,MC
176,16,11,PRD
177,16,12,PRD
178,17,1,MC
179,17,2,PT
180,17,3,PRD
181,17,4,PRD
182,17,5,PRD
183,18,1,PRD
184,18,2,PRD
185,18,3,PT
186,19,1,PT
187,19,2,PT
188,19,3,PT
189,19,4,PT
190,19,5,PT
191,19,6,PT
192,19,7,PT
193,19,8,PT
194,19,9,PT
195,19,10,PT
196,19,11,PT
197,19,12,PRD
198,20,1,MC
199,20,2,MC
200,20,3,PRD
201,20,4,PT
202,20,5,PRD
203,20,6,PT
204,20,7,PRD
205,20,8,PRD
206,20,9,PRD
207,20,10,MC
208,20,11,PRD
209,21,1,PRD
210,21,2,PT
211,21,3,PT
212,21,4,PRD
213,21,5,PRD
214,21,6,PT
215,21,7,PRD
216,21,8,PRD
217,21,9,PRD
218,21,10,PT
219,21,11,PT
220,21,12,PRD
221,21,13,MC
222,21,14,PRD
223,21,15,PRD
224,21,16,PRD
225,22,1,PRD
226,22,2,PRD
227,22,3,MC
228,22,4,MC
229,23,1,PRD
230,23,2,PT
231,23,3,PRD
232,24,1,PT
233,24,2,PRD
234,24,3,MC
235,24,4,PRD
236,24,5,MC
237,24,6,PRD
238,24,7,PRD
239,25,1,PRD
240,25,2,PRD
241,25,3,MC
242,25,4,PRD
243,25,5,PT
244,25,6,PRD
245,25,7,PRD
246,25,8,MC
247,26,1,PRD
248,26,2,PRD
249,26,3,MC
250,26,4,MC
251,26,5,PRD
252,26,6,PT
253,26,7,PRD
254,27,1,PRD
255,27,2,PRD
256,27,3,PRD
257,27,4,PRD
258,27,5,PRD
259,27,6,PRD
260,28,1,PRD
261,28,2,PT
262,28,3,PRD
263,28,4,MC
264,28,5,PT
265,28,6,PRD
266,28,7,PRD
267,28,8,PRD
268,29,1,PRD
269,29,2,PT
270,29,3,PRD
271,30,1,MC
272,30,2,PRD
273,30,3,PRD
274,30,4,PRD
275,30,5,PT
276,30,6,MC
277,30,7,PT
278,30,8,MC
279,30,9,PT
280,30,10,PRD
281,30,11,PRD
282,30,12,MC
283,30,13,MC
284,30,14,PRD
285,30,15,PRD
286,30,16,MC
287,30,17,PRD
288,30,18,PRD
289,30,19,MC
290,30,20,PT
291,30,21,PRD
292,31,1,PRD
293,31,2,PRD
294,31,3,MC
295,31,4,PT
296,31,5,PRD
297,32,1,PT
298,32,2,PRD
299,32,3,PRD
300,32,4,PRD
