CIRCUNSCRIPCION|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO|ID_DISTRITO_LOCAL|CABECERA_DISTRITAL|ID_MUNICIPIO|MUNICIPIO|SECCION|TIPO_SECCION|CASILLA|PAN|PRI|PRD|PT|PVEM|PRS|MC|NVA_ALIANZA|MORENA|ES|PAN_PRD_PT_PRS|PAN_PRD_PT|PAN_PRD_PRS|PAN_PT_PRS|PRD_PT_PRS|PAN_PRD|PAN_PT|PAN_PRS|PRD_PT|PRD_PRS|PT_PRS|PRI_PVEM_NVA_ALIANZA|PRI_PVEM|PRI_NVA_ALIANZA|PVEM_NVA_ALIANZA|CAND_IND1|CAND_IND2|CAND_IND3|VOTOS_CAND_NREG|VOTOS_VALIDOS|VOTOS_NULOS|VOTOS_TOTAL|LISTA_NOMINAL|ESTATUS_ACTA|TEPJF|OBSERVACIONES|RUTA_ACTA|ID_DTTO_FEDERAL_jul2020|ID_DTTO_LOCAL_jul2020|MUNICIPIO_jul2020|NOM_MUN_jul2020|SECCION_jul2020|TIPO_SECC_jul2020|OBSERVACION_MMGE_31jul2020
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|16.00|U|B|60.00|94.00|38.00|4.00|2.00|0.00|6.00|7.00|64.00|13.00|1.00|1.00|0.00|0.00|0.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|2.00|24.00|0.00|319.00|0.00|319.00|472.00|||||1|1|1|ACAPONETA|16|U|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|16.00|U|C01|60.00|63.00|40.00|2.00|3.00|1.00|15.00|3.00|78.00|4.00|3.00|1.00|0.00|0.00|0.00|0.00|1.00|0.00|1.00|0.00|0.00|0.00|2.00|0.00|0.00|1.00|1.00|30.00|0.00|309.00|4.00|313.00|471.00|||||1|1|1|ACAPONETA|16|U|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|17.00|U|B|44.00|60.00|20.00|3.00|2.00|0.00|11.00|2.00|63.00|1.00|0.00|1.00|0.00|0.00|0.00|3.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|1.00|0.00|33.00|0.00|245.00|7.00|252.00|396.00|||||1|1|1|ACAPONETA|17|U|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|17.00|U|C01|46.00|70.00|36.00|0.00|2.00|1.00|11.00|1.00|67.00|1.00|1.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|2.00|0.00|18.00|0.00|257.00|4.00|261.00|395.00|||||1|1|1|ACAPONETA|17|U|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|18.00|U|B|35.00|65.00|39.00|1.00|0.00|1.00|4.00|2.00|65.00|10.00|1.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|39.00|0.00|264.00|7.00|271.00|397.00|||||1|1|1|ACAPONETA|18|U|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|18.00|U|C01|41.00|57.00|38.00|2.00|3.00|2.00|4.00|1.00|60.00|5.00|3.00|1.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|1.00|0.00|1.00|0.00|37.00|0.00|258.00|8.00|266.00|396.00|||||1|1|1|ACAPONETA|18|U|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|19.00|R|B|2.00|32.00|7.00|0.00|1.00|0.00|0.00|0.00|3.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|24.00|0.00|69.00|13.00|82.00|119.00|||||1|1|1|ACAPONETA|19|R|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|20.00|R|B|10.00|37.00|5.00|1.00|0.00|0.00|12.00|2.00|5.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|71.00|0.00|145.00|23.00|168.00|250.00|||||1|1|1|ACAPONETA|20|R|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|21.00|R|B|108.00|64.00|14.00|5.00|3.00|2.00|1.00|7.00|40.00|1.00|2.00|1.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|2.00|2.00|24.00|0.00|278.00|17.00|295.00|415.00|||||1|1|1|ACAPONETA|21|R|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|22.00|R|B|30.00|31.00|4.00|1.00|0.00|1.00|1.00|0.00|78.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|1.00|10.00|0.00|158.00|14.00|172.00|212.00|||||1|1|1|ACAPONETA|22|R|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|23.00|R|B|19.00|73.00|16.00|2.00|4.00|2.00|4.00|2.00|104.00|8.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|2.00|0.00|0.00|0.00|1.00|0.00|22.00|0.00|261.00|21.00|282.00|415.00|||||1|1|1|ACAPONETA|23|R|
