CIRCUNSCRIPCION|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO|ID_DISTRITO_LOCAL|CABECERA_DISTRITAL|ID_MUNICIPIO|MUNICIPIO|SECCION|TIPO_SECCION|CASILLA|PAN|PRI|PRD|PT|PVEM|NVA_ALIANZA|MORENA|ES|PRD_PAN|PRI_PVEM_NVA_ALIANZA|PRI_PVEM|PRI_NVA_ALIANZA|PVEM_NVA_ALIANZA|CAND_IND1|CAND_IND2|VOTOS_CAND_NREG|VOTOS_VALIDOS|VOTOS_NULOS|VOTOS_TOTAL|LISTA_NOMINAL|ESTATUS_ACTA|TEPJF|OBSERVACIONES|RUTA_ACTA|ID_DTTO_FEDERAL_jul2020|ID_DTTO_LOCAL_jul2020|MUNICIPIO_jul2020|NOM_MUN_jul2020|SECCION_jul2020|TIPO_SECC_jul2020|OBSERVACION_MMGE_31jul2020
2|32|ZACATECAS|2|11.00|VILLANUEVA|57.00|VILLANUEVA|1757.00|RURAL|B|10.00|43.00|26.00|3.00|8.00|2.00|24.00|2.00|3.00|0.00|0.00|0.00|1.00|1.00|1.00|0.00|124.00|1.00|125.00|184.00|ACTA CASILLA||||2|11|55|VILLANUEVA|1757|R|
2|32|ZACATECAS|1|6.00|FRESNILLO|13.00|FRESNILLO|186.00|URBANO(A)|B|22.00|96.00|20.00|6.00|2.00|6.00|136.00|34.00|1.00|0.00|1.00|0.00|0.00|11.00|6.00|2.00|341.00|4.00|347.00|647.00|ACTA CASILLA||||1|6|10|FRESNILLO|186|U|
2|32|ZACATECAS|4|8.00|OJOCALIENTE|36.00|OJOCALIENTE|1039.00|URBANO(A)|B|18.00|95.00|18.00|8.00|7.00|7.00|81.00|33.00|2.00|1.00|2.00|1.00|0.00|0.00|3.00|0.00|276.00|7.00|283.00|460.00|ACTA CASILLA||||2|8|36|OJOCALIENTE|1039|U|
2|32|ZACATECAS|4|4.00|GUADALUPE|16.00|GUADALUPE|1897.00|URBANO(A)|B|13.00|47.00|13.00|10.00|10.00|1.00|81.00|26.00|2.00|0.00|2.00|0.00|0.00|0.00|4.00|0.00|209.00|2.00|211.00|471.00|ACTA CASILLA||||4|4|17|GUADALUPE|1897|U|
2|32|ZACATECAS|1|7.00|FRESNILLO|13.00|FRESNILLO|292.00|MIXTO(A)|B|18.00|121.00|27.00|4.00|15.00|7.00|87.00|41.00|2.00|0.00|2.00|1.00|0.00|7.00|8.00|0.00|340.00|18.00|358.00|563.00|ACTA CASILLA||||1|7|10|FRESNILLO|292|M|
2|32|ZACATECAS|3|18.00|JUAN ALDAMA|40.00|RIO GRANDE|1200.00|URBANO(A)|B|70.00|128.00|13.00|6.00|4.00|6.00|130.00|33.00|9.00|0.00|0.00|0.00|0.00|5.00|0.00|0.00|404.00|10.00|414.00|745.00|GRUPO DE RECUENTO||||3|18|39|RIO GRANDE|1200|U|
2|32|ZACATECAS|1|2.00|ZACATECAS|5.00|CALERA|45.00|URBANO(A)|B|45.00|64.00|19.00|4.00|1.00|4.00|56.00|23.00|7.00|0.00|0.00|0.00|0.00|2.00|7.00|0.00|232.00|6.00|238.00|406.00|GRUPO DE RECUENTO||||1|2|5|CALERA|45|U|
2|32|ZACATECAS|1|2.00|ZACATECAS|5.00|CALERA|40.00|MIXTO(A)|B|61.00|79.00|12.00|2.00|4.00|6.00|67.00|60.00|5.00|1.00|0.00|0.00|0.00|6.00|6.00|0.00|309.00|2.00|311.00|624.00|GRUPO DE RECUENTO||||1|2|5|CALERA|40|M|
2|32|ZACATECAS|1|6.00|FRESNILLO|13.00|FRESNILLO|187.00|URBANO(A)|B|15.00|61.00|6.00|2.00|5.00|2.00|99.00|26.00|0.00|0.00|0.00|0.00|0.00|4.00|3.00|0.00|223.00|1.00|224.00|476.00|ACTA CASILLA||||1|6|10|FRESNILLO|187|U|
2|32|ZACATECAS|4|15.00|PINOS|39.00|PINOS|1111.00|RURAL|C01|1.00|205.00|17.00|3.00|6.00|1.00|120.00|5.00|0.00|0.00|4.00|0.00|0.00|0.00|2.00|0.00|364.00|12.00|376.00|509.00|ACTA CASILLA||||4|15|38|PINOS|1111|R|
2|32|ZACATECAS|1|5.00|FRESNILLO|13.00|FRESNILLO|144.00|URBANO(A)|B|15.00|91.00|6.00|7.00|5.00|5.00|64.00|49.00|0.00|0.00|1.00|0.00|0.00|7.00|5.00|0.00|255.00|11.00|266.00|495.00|GRUPO DE RECUENTO||||1|5|10|FRESNILLO|144|U|
2|32|ZACATECAS|4|4.00|GUADALUPE|16.00|GUADALUPE|1899.00|URBANO(A)|B|11.00|71.00|24.00|5.00|5.00|5.00|94.00|9.00|1.00|0.00|2.00|0.00|0.00|5.00|3.00|0.00|235.00|7.00|242.00|421.00|ACTA CASILLA||||4|4|17|GUADALUPE|1899|U|
2|32|ZACATECAS|1|7.00|FRESNILLO|13.00|FRESNILLO|293.00|RURAL|B|13.00|176.00|20.00|10.00|9.00|2.00|58.00|45.00|2.00|1.00|3.00|0.00|1.00|4.00|4.00|0.00|348.00|14.00|362.00|603.00|ACTA CASILLA||||1|7|10|FRESNILLO|293|R|
2|32|ZACATECAS|1|5.00|FRESNILLO|13.00|FRESNILLO|144.00|URBANO(A)|C01|14.00|108.00|7.00|5.00|7.00|3.00|65.00|42.00|0.00|0.00|0.00|0.00|0.00|2.00|1.00|0.00|254.00|4.00|258.00|494.00|GRUPO DE RECUENTO||||1|5|10|FRESNILLO|144|U|
2|32|ZACATECAS|4|4.00|GUADALUPE|16.00|GUADALUPE|470.00|MIXTO(A)|C09|12.00|112.00|25.00|27.00|6.00|0.00|123.00|21.00|4.00|3.00|1.00|0.00|0.00|3.00|4.00|0.00|341.00|12.00|353.00|724.00|GRUPO DE RECUENTO||||4|4|17|GUADALUPE|470|M|
2|32|ZACATECAS|3|1.00|ZACATECAS|58.00|ZACATECAS|1825.00|URBANO(A)|B|14.00|74.00|13.00|6.00|5.00|1.00|103.00|20.00|3.00|0.00|1.00|0.00|0.00|3.00|12.00|0.00|255.00|5.00|260.00|440.00|ACTA CASILLA||||3|1|56|ZACATECAS|1825|U|
2|32|ZACATECAS|4|4.00|GUADALUPE|16.00|GUADALUPE|1900.00|URBANO(A)|C01|25.00|64.00|22.00|3.00|1.00|2.00|123.00|7.00|2.00|0.00|0.00|0.00|0.00|10.00|10.00|0.00|269.00|9.00|278.00|436.00|ACTA CASILLA||||4|4|17|GUADALUPE|1900|U|
2|32|ZACATECAS|4|4.00|GUADALUPE|16.00|GUADALUPE|465.00|URBANO(A)|C01|29.00|112.00|27.00|2.00|12.00|2.00|140.00|17.00|2.00|0.00|1.00|0.00|0.00|0.00|5.00|0.00|349.00|6.00|355.00|618.00|ACTA CASILLA||||4|4|17|GUADALUPE|465|U|
2|32|ZACATECAS|2|11.00|VILLANUEVA|57.00|VILLANUEVA|1728.00|MIXTO(A)|B|50.00|103.00|117.00|0.00|10.00|44.00|7.00|8.00|6.00|4.00|0.00|4.00|2.00|0.00|0.00|0.00|355.00|6.00|361.00|574.00|ACTA CASILLA||||2|11|55|VILLANUEVA|1728|M|
