CIRCUNSCRIPCION|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO|ID_DISTRITO_LOCAL|CABECERA_DISTRITAL|ID_MUNICIPIO|MUNICIPIO|SECCION|TIPO_SECCION|CASILLA|PAN|PRI|PRD|PT|PVEM|MC|NVA_ALIANZA|MORENA|PH|ES|PPG|COMUN_PRI_PVEM|COMUN_PRD_PT|VOTOS_CAND_NREG|VOTOS_VALIDOS|VOTOS_NULOS|VOTOS_TOTAL|LISTA_NOMINAL|ESTATUS_ACTA|TEPJF|OBSERVACIONES|RUTA_ACTA|ID_DTTO_FEDERAL_jul2020|ID_DTTO_LOCAL_jul2020|MUNICIPIO_jul2020|NOM_MUN_jul2020|SECCION_jul2020|TIPO_SECC_jul2020|OBSERVACION_MMGE_31jul2020
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1212.00|URBANA|B|7.00|140.00|116.00|4.00|5.00|20.00|8.00|14.00|2.00|1.00|4.00|4.00|6.00|0.00|331.00|24.00|355.00|712.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1212|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1212.00|URBANA|C01|9.00|141.00|94.00|8.00|6.00|17.00|7.00|18.00|2.00|1.00|3.00|5.00|4.00|0.00|315.00|12.00|327.00|712.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1212|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1212.00|URBANA|C02|6.00|123.00|101.00|10.00|4.00|14.00|6.00|7.00|4.00|2.00|5.00|3.00|8.00|0.00|293.00|27.00|320.00|712.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1212|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1212.00|URBANA|C03|12.00|119.00|79.00|8.00|4.00|16.00|2.00|10.00|3.00|4.00|4.00|3.00|8.00|0.00|272.00|23.00|295.00|712.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1212|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1213.00|MIXTA|B|5.00|110.00|89.00|6.00|6.00|18.00|4.00|14.00|1.00|0.00|0.00|8.00|7.00|0.00|268.00|21.00|289.00|717.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1213|M|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1213.00|MIXTA|C01|5.00|122.00|94.00|8.00|6.00|17.00|7.00|12.00|2.00|1.00|1.00|4.00|7.00|0.00|286.00|11.00|297.00|717.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1213|M|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1213.00|MIXTA|C02|8.00|103.00|87.00|8.00|4.00|27.00|3.00|8.00|6.00|6.00|4.00|5.00|5.00|0.00|274.00|17.00|291.00|717.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1213|M|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1213.00|MIXTA|C03|11.00|104.00|102.00|12.00|4.00|20.00|9.00|17.00|2.00|3.00|1.00|1.00|5.00|0.00|291.00|19.00|310.00|716.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1213|M|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1204.00|URBANA|B|14.00|115.00|89.00|8.00|4.00|23.00|7.00|10.00|2.00|1.00|3.00|3.00|4.00|0.00|283.00|17.00|300.00|686.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1204|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1204.00|URBANA|C01|5.00|111.00|86.00|13.00|2.00|19.00|9.00|9.00|2.00|0.00|3.00|9.00|9.00|0.00|277.00|12.00|289.00|686.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1204|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1204.00|URBANA|C02|11.00|99.00|72.00|6.00|3.00|27.00|8.00|11.00|2.00|2.00|4.00|5.00|5.00|1.00|255.00|18.00|274.00|686.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1204|U|
