V1,V2
-115.80,30.27
-115.81,30.28
-115.81,30.28
-115.81,30.29
-115.81,30.29
-115.81,30.30
-115.81,30.30
-115.82,30.31
-115.82,30.31
-115.82,30.32
-115.82,30.32
-115.82,30.33
-115.83,30.33
-115.83,30.34
-115.83,30.34
-115.83,30.35
-115.84,30.35
-115.84,30.35
-115.84,30.36
-115.85,30.36
-115.85,30.37
-115.85,30.37
-115.85,30.38
-115.86,30.38
-115.86,30.38
-115.87,30.38
-115.87,30.39
-115.88,30.39
-115.89,30.39
-115.89,30.39
-115.90,30.39
-115.90,30.39
-115.91,30.40
-115.92,30.40
-115.92,30.40
-115.93,30.40
-115.94,30.40
-115.95,30.40
-115.95,30.40
-115.96,30.40
-115.97,30.40
-115.97,30.40
-115.97,30.40
-115.96,30.41
-115.96,30.41
-115.95,30.41
-115.95,30.42
-115.95,30.42
-115.94,30.42
-115.94,30.43
-115.94,30.43
-115.93,30.44
-115.93,30.44
-115.93,30.45
-115.93,30.45
-115.93,30.46
-115.94,30.46
-115.94,30.46
-115.95,30.47
-115.95,30.47
-115.95,30.47
-115.96,30.48
-115.96,30.48
-115.96,30.48
-115.97,30.49
-115.97,30.49
-115.98,30.49
-115.98,30.50
-115.99,30.50
-115.99,30.49
-115.99,30.49
-115.98,30.48
-115.98,30.48
-115.98,30.47
-115.97,30.47
-115.97,30.47
-115.97,30.46
-115.96,30.46
-115.96,30.45
-115.96,30.45
-115.96,30.44
-115.96,30.44
-115.97,30.44
-115.98,30.44
-115.98,30.45
-115.99,30.45
-115.99,30.45
-116.00,30.45
-116.01,30.45
-116.01,30.44
-116.01,30.44
-116.01,30.43
-116.01,30.43
-116.01,30.42
-116.00,30.42
-116.00,30.42
-116.00,30.41
-116.00,30.41
-115.99,30.40
-115.99,30.40
-115.99,30.39
-115.99,30.39
-115.99,30.38
-115.99,30.38
-115.99,30.37
-116.00,30.37
-116.00,30.38
-116.01,30.38
-116.01,30.38
-116.01,30.39
-116.01,30.40
-116.02,30.40
-116.02,30.40
-116.02,30.41
-116.02,30.41
-116.03,30.42
-116.03,30.42
-116.03,30.43
-116.03,30.43
-116.03,30.44
-116.04,30.44
-116.04,30.45
-116.04,30.45
-116.04,30.46
-116.04,30.46
-116.04,30.47
-116.04,30.48
-116.04,30.48
-116.04,30.49
-116.04,30.50
-116.04,30.50
-116.04,30.51
-116.04,30.51
-116.04,30.52
-116.04,30.53
-116.03,30.53
-116.03,30.54
-116.03,30.55
-116.03,30.55
-116.03,30.56
-116.03,30.56
-116.03,30.57
-116.03,30.58
-116.03,30.58
-116.03,30.59
-116.03,30.60
-116.03,30.60
-116.03,30.61
-116.03,30.62
-116.03,30.62
-116.03,30.63
-116.03,30.64
-116.03,30.64
-116.03,30.65
-116.03,30.65
-116.04,30.66
-116.04,30.67
-116.04,30.67
-116.04,30.68
-116.04,30.69
-116.04,30.69
-116.04,30.70
-116.04,30.71
-116.04,30.71
-116.04,30.72
-116.04,30.72
-116.04,30.73
-116.04,30.74
-116.04,30.74
-116.04,30.75
-116.04,30.75
-116.04,30.76
-116.05,30.76
-116.05,30.77
-116.05,30.78
-116.05,30.78
-116.05,30.79
-116.05,30.79
-116.05,30.80
-116.06,30.80
-116.06,30.81
-116.07,30.81
-116.07,30.81
-116.08,30.81
-116.08,30.82
-116.09,30.82
-116.09,30.82
-116.09,30.83
-116.10,30.83
-116.10,30.83
-116.11,30.83
-116.11,30.84
-116.12,30.84
-116.12,30.84
-116.12,30.85
-116.13,30.85
-116.13,30.85
-116.14,30.86
-116.14,30.86
-116.15,30.86
-116.15,30.86
-116.16,30.87
-116.16,30.87
-116.17,30.87
-116.17,30.87
-116.18,30.88
-116.18,30.88
-116.19,30.88
-116.19,30.89
-116.20,30.89
-116.20,30.89
-116.21,30.89
-116.21,30.90
-116.21,30.90
-116.21,30.91
-116.22,30.91
-116.22,30.92
-116.22,30.92
-116.22,30.93
-116.23,30.93
-116.23,30.93
-116.24,30.94
-116.24,30.94
-116.24,30.94
-116.25,30.95
-116.25,30.95
-116.25,30.95
-116.26,30.96
-116.26,30.96
-116.27,30.96
-116.27,30.96
-116.28,30.96
-116.29,30.96
-116.30,30.96
-116.30,30.96
-116.31,30.96
-116.32,30.96
-116.32,30.97
-116.32,30.97
-116.33,30.97
-116.33,30.98
-116.33,30.98
-116.33,30.99
-116.33,31.00
-116.33,31.00
-116.32,31.01
-116.32,31.01
-116.32,31.02
-116.32,31.02
-116.32,31.03
-116.31,31.03
-116.31,31.04
-116.31,31.04
-116.31,31.05
-116.31,31.06
-116.31,31.06
-116.31,31.07
-116.31,31.07
-116.31,31.08
-116.30,31.08
-116.30,31.08
-116.30,31.08
-116.30,31.09
-116.30,31.10
-116.30,31.10
-116.30,31.11
-116.30,31.12
-116.30,31.12
-116.30,31.13
-116.31,31.13
-116.31,31.14
-116.31,31.15
-116.31,31.15
-116.31,31.16
-116.31,31.16
-116.31,31.17
-116.32,31.17
-116.32,31.18
-116.32,31.18
-116.32,31.19
-116.32,31.19
-116.33,31.20
-116.33,31.20
-116.33,31.21
-116.34,31.21
-116.34,31.21
-116.34,31.22
-116.34,31.22
-116.35,31.23
-116.35,31.23
-116.35,31.23
-116.36,31.24
-116.36,31.24
-116.36,31.25
-116.37,31.25
-116.37,31.25
-116.38,31.26
-116.38,31.26
-116.38,31.26
-116.39,31.27
-116.39,31.27
-116.39,31.28
-116.40,31.28
-116.40,31.28
-116.40,31.29
-116.40,31.29
-116.41,31.30
-116.41,31.30
-116.41,31.30
-116.42,31.31
-116.42,31.31
-116.42,31.32
-116.43,31.32
-116.43,31.32
-116.43,31.33
-116.44,31.33
-116.44,31.33
-116.45,31.34
-116.45,31.34
