Fecha,AEROMEX,ARA,ASURB,AUTLANB,AXTELCPO,BACHOCOB,BIMBOA,CEMEXCPO,CHDRAUIB,GCARSOA,GMEXICOB,GRUMAB,KIMBERA,KOF,LAMOSA,MEGACPO,MEXCHEM,MFRISCOA,PE¥OLES,VITROA
22/2/2012,24.370001,4.047233,75.189713,14.916787,4.85,20.966637,28.550024,8.16395,31.976173,36.585293,35.731216,28.085665,18.79096,86.998497,13.46802,25.299112,41.095978,58,579.379883,16.675558
23/2/2012,24.700001,4.095529,75.181084,14.86068,4.76,20.829597,28.863653,7.98218,32.29623,36.9184,35.203167,29.933659,18.362059,86.919434,13.104012,25.379005,40.876709,57.68,580.271301,16.724318
24/2/2012,24.67,4.047233,75.776596,14.776519,4.56,20.646881,28.922457,7.46847,32.082863,37.010918,35.062363,29.741158,18.513603,88.280975,13.104012,25.210344,41.587257,58.049999,579.379883,16.773077
27/2/2012,24.190001,4.047233,77.804779,14.299509,4.48,20.537254,28.569624,7.84782,32.102257,36.909142,35.678413,29.654533,18.487951,88.070168,13.195014,25.742958,41.034611,57.790001,584.014893,16.675558
28/2/2012,23.950001,3.960299,76.924454,13.644826,4.49,20.190092,28.461815,7.7846,31.588238,37.103439,36.382473,29.539034,18.464838,88.526939,13.104012,25.556545,40.657429,56.59,586.510742,16.724318
29/2/2012,23.709999,4.018255,76.518822,13.532611,4.28,19.861204,28.226591,7.77669,31.277878,37.010918,35.599213,30.126154,18.377472,85.865349,13.104012,26.133541,40.75396,56,568.157715,16.578041
1/3/2012,23.879999,3.931322,76.328949,13.46715,4.36,19.733303,28.657831,7.82411,31.782204,37.010918,35.431992,30.876904,18.721622,86.00589,13.104012,25.751835,40.613541,55.509998,582.945374,16.656054
2/3/2012,23.9,3.95064,77.148842,13.766486,4.48,20.190092,29.108675,8.12443,31.646429,37.195972,35.731216,30.222406,19.222406,88.755333,13.104012,26.000387,41.13113,55.900002,577.597168,16.773077
5/3/2012,23.6,3.940981,78.590164,13.775838,4.4,19.998245,29.108675,8.07701,32.179852,36.844376,35.115173,30.116529,19.15823,88.939812,13.104012,25.742958,41.543365,55.029999,574.923157,16.578041
6/3/2012,23.26,3.998936,78.477966,13.541962,4.34,19.212566,28.403008,7.73718,31.607634,36.141163,34.059078,29.895157,18.893661,89.624969,13.104012,25.742958,40.525837,54.169998,562.978943,16.529284
7/3/2012,23.629999,3.989277,77.58902,14.121834,4.39,18.911085,28.667635,7.75299,31.850094,36.640808,34.296688,30.078033,18.747278,90.22229,13.104012,25.831728,40.789013,56.040001,559.324463,16.578041
8/3/2012,23.940001,4.047233,77.822037,14.364967,4.47,18.95676,28.716637,8.01379,31.840395,37.269985,35.229568,30.010656,18.968166,89.563477,13.104012,26.453106,40.920601,56.349998,566.009644,16.558537
9/3/2012,23.74,4.163144,76.380737,14.561344,4.4,18.810589,28.677435,8.0296,31.976173,37.427296,35.678413,30.357157,18.945049,89.335083,13.104012,26.630646,40.75396,55.799999,563.335571,16.704813
