572
ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO_F|ESTRATO_F|ID_ESTRATO_L|ESTRATO_L|ID_AREA_RESPONSABILIDAD|PAN|PRI|PRD|PT|PVEM|MC|MORENA|PES|RSP|FPM|PAN_PRI_PRD|PAN_PRI|PAN_PRD|PRI_PRD|PVEM_PT_MORENA|PVEM_PT|PVEM_MORENA|PT_MORENA|CI1|CNR|NULOS|TOTAL|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|MODIFICADO
5|2|661|C|3|0|1|635|27|12|0|E0|0||83|11|170|4|0|20|4|119|0|2|3|0|0|0|0|0|0|0|0|0|0|8|341|2021|6|6|19|23|27|1|N
5|2|1040|C|2|0|1|522|31|4|0|E0|0||50|17|110|1|4|9|12|134|6|2|4|0|0|0|0|0|0|0|0|0|0|8|307|2021|6|6|18|59|34|1|N
5|2|1151|C|1|0|3|392|33|4|0|E0|0||121|35|94|1|1|98|1|62|0|0|3|0|0|0|0|0|0|0|0|0|0|11|306|2021|6|6|19|12|53|1|N
5|3|43|B|1|0|1|544|3|5|0|E0|0||6|37|120|2|2|0|3|154|0|3|0|0|0|0|0|0|0|0|0|0|0|8|329|2021|6|6|19|19|32|1|N
5|3|44|C|1|0|1|553|3|5|0|E0|0||6|42|131|0|0|1|8|120|0|1|5|0|0|0|0|0|0|0|0|0|0|13|321|2021|6|6|19|18|31|1|N
5|3|321|C|1|0|1|678|18|5|0|E0|0||68|124|73|3|4|0|5|100|6|2|28|0|0|0|0|0|0|0|1|0|0|4|350|2021|6|6|18|54|22|1|N
5|3|338|C|1|0|1|540|18|5|0|E0|0||83|63|105|0|2|3|3|79|1|1|18|0|0|0|0|0|0|0|1|0|0|9|285|2021|6|6|18|58|36|1|N
5|3|343|B|1|0|1|632|18|5|0|E0|0||87|124|80|4|3|3|8|114|2|3|12|0|0|0|0|0|0|0|0|0|0|3|356|2021|6|6|18|55|29|1|N
5|3|362|C|1|0|1|643|18|5|0|E0|0||99|116|99|3|1|2|6|76|0|1|23|0|0|0|0|0|0|0|0|0|0|3|330|2021|6|6|18|56|14|1|N
5|3|384|B|1|0|1|510|18|6|0|E0|0||119|90|96|3|3|5|2|73|1|0|23|0|0|0|0|0|0|0|0|0|0|8|304|2021|6|6|18|55|32|1|N
5|3|423|B|1|0|1|328|18|6|0|E0|0||135|39|77|3|0|1|2|68|2|9|4|0|0|0|0|0|0|0|0|0|0|4|209|2021|6|6|19|21|28|1|N
5|3|430|B|1|0|1|574|18|6|0|E0|0||134|53|99|2|2|1|3|110|2|0|27|0|0|0|0|1|0|0|1|0|0|4|305|2021|6|6|18|48|11|1|N
5|3|430|C|2|0|1|573|18|6|0|E0|0||134|50|94|2|0|0|2|96|1|1|19|0|0|0|0|0|0|0|0|0|0|9|274|2021|6|6|18|44|44|1|N
5|3|717|C|1|0|2|375|28|3|0|E0|0||14|53|70|0|1|1|16|59|3|0|13|0|0|0|0|0|0|0|0|0|0|3|219|2021|6|6|18|57|24|1|N
5|4|755|C|11|0|1|717|30|14|0|E0|0||49|33|132|4|1|11|3|121|1|1|2|0|0|0|0|0|0|1|0|0|0|4|314|2021|6|6|19|11|8|1|N
5|4|899|C|1|0|1|417|30|15|0|E0|0||63|31|124|1|2|5|9|88|0|1|4|0|0|0|0|0|0|0|0|0|0|5|270|2021|6|6|19|6|52|1|N
5|4|949|C|2|0|1|736|30|15|0|E0|0||107|30|126|2|3|6|4|139|5|0|4|0|0|0|0|0|0|1|1|0|0|12|333|2021|6|6|19|7|21|1|N
5|4|980|C|1|0|1|675|30|16|0|E0|0||78|18|139|5|2|9|6|126|4|1|2|0|0|0|0|0|0|0|0|0|0|4|316|2021|6|6|19|23|16|1|N
5|4|980|C|2|0|1|675|30|16|0|E0|0||78|16|158|2|3|7|5|121|2|0|0|0|0|0|0|0|0|0|0|0|0|9|323|2021|6|6|19|14|18|1|N
5|4|1633|B|1|0|1|579|30|14|0|E0|0||130|10|104|4|2|24|7|78|1|0|0|0|0|0|0|0|0|0|0|0|0|0|230|2021|6|6|19|6|25|1|N
5|5|1320|C|2|0|1|690|35|11|0|E0|0||106|107|103|3|0|2|6|157|0|3|6|0|0|0|0|0|0|1|0|0|0|2|390|2021|6|6|18|39|56|1|N
5|5|1340|C|1|0|1|509|35|9|0|E0|0||126|63|114|2|2|4|4|119|1|2|2|0|0|0|0|0|0|0|0|0|0|1|314|2021|6|6|19|6|36|1|N
5|5|1348|C|1|0|1|627|35|11|0|E0|0||118|63|126|4|4|6|5|139|1|1|3|0|0|0|0|0|0|0|0|0|3|6|361|2021|6|6|19|13|52|1|N
5|6|1310|C|6|0|1|732|35|8|0|E0|0||35|48|130|1|2|3|7|151|3|2|5|0|0|0|0|1|0|0|0|0|0|6|359|2021|6|6|19|4|35|1|N
5|6|1485|C|1|0|2|421|36|7|0|E0|0||123|1|122|3|10|2|2|117|0|0|9|0|0|0|0|0|0|0|0|0|0|5|271|2021|6|6|19|12|33|1|N
5|6|1732|C|1|0|1|628|35|8|0|E0|0||45|40|129|1|2|2|3|116|2|3|1|0|0|0|0|0|0|0|0|0|0|9|308|2021|6|6|19|15|15|1|N
5|6|1745|C|3|0|1|612|35|11|0|E0|0||90|27|105|1|0|1|1|126|1|0|4|0|0|0|0|0|0|0|0|0|0|2|268|2021|6|6|18|53|50|1|N
5|7|551|B|1|0|1|397|24|12|0|E0|0||128|12|105|10|7|4|24|86|3|5|4|0|0|0|0|0|0|0|0|0|0|8|268|2021|6|6|18|57|37|1|N
5|7|747|C|1|0|1|574|30|13|0|E0|0||9|13|117|5|4|9|2|116|3|2|4|0|0|0|0|0|0|0|0|0|0|9|284|2021|6|6|19|18|14|1|N
